required_age,dlc_count,windows,mac,linux,price_cleaned,languagesupp_count,is_major_developer,cat_Achievements,cat_Multiplayer,cat_Coop,cat_ControllerSupport,cat_Workshop,cat_InAppPurchases,cat_SteamCloud,cat_SinglePlayer,genre_Indie,genre_Racing,genre_Sports,genre_Simulation,genre_Casual,genre_RPG,genre_Action,genre_FreeToPlay,genre_MassivelyMultiplayer,genre_Adventure,genre_Strategy,AGE_GROUP,is_positive
0,4,1,1,1,2.99,19,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1
0,3,1,1,0,19.99,11,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1
0,3,1,0,0,29.99,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,23,1,0,0,7.49,14,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0
17,31,1,0,0,8.99,14,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0
17,24,1,0,0,39.99,10,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,4,1,0,0,39.99,16,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
12,0,1,0,0,4.99,20,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1
0,4,1,1,1,29.99,2,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
0,11,1,0,0,19.99,6,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
0,5,1,0,0,0,15,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1
0,0,1,0,0,39.99,21,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,29.99,21,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,19.99,21,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,4.99,21,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
17,32,1,0,0,29.99,12,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,1,1,19.99,9,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,9,1,0,0,9.99,10,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,1,1,9.99,28,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
0,8,1,0,0,14.99,10,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
0,1,1,0,0,0,26,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
0,33,1,1,1,0,4,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,2,1,0,0,69.99,13,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
0,25,1,0,0,4.49,11,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,3.99,12,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
17,1,1,1,1,0,7,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,1,0,0,19,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,11,1,0,0,9.99,13,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,1,1,34.99,11,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
0,6,1,1,0,69.99,10,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
0,1,1,1,1,69.99,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1
0,20,1,0,0,69.99,9,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
0,3,1,0,0,69.99,18,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
0,8,1,0,0,29.99,20,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
0,22,1,1,1,19.99,13,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
0,1,1,0,0,29.99,28,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1
